iter,tau_e,Re_B,Re_T,Re_L,lambda_t,eta_cell,eta_domain,kmax_eta_cell,kmax_eta_domain,L_TKE,ils,eps0,TKE,u_rms,frac_x,frac_y,frac_z
160000,  7.828895E+03,  2.140155E+03,  1.027598E+02,  3.011545E+02,  2.458373E+01,  1.232292E+00,  1.512249E-02,  3.871358E+00,  3.871358E+00,  3.093974E+02,  7.204671E+01,  4.627659E-09,  1.270336E-04,  9.202667E-03,  3.520886E-01,  3.171721E-01,  3.307393E-01
161000,  7.804324E+03,  2.148539E+03,  1.027130E+02,  3.025660E+02,  2.447667E+01,  1.227204E+00,  1.506006E-02,  3.855375E+00,  3.855375E+00,  3.079097E+02,  7.210194E+01,  4.704878E-09,  1.280308E-04,  9.238716E-03,  3.521155E-01,  3.150687E-01,  3.328159E-01
162000,  7.785250E+03,  2.156624E+03,  1.027378E+02,  3.041025E+02,  2.439078E+01,  1.222750E+00,  1.500540E-02,  3.841383E+00,  3.841383E+00,  3.069033E+02,  7.219639E+01,  4.773798E-09,  1.289962E-04,  9.273483E-03,  3.510530E-01,  3.141309E-01,  3.348160E-01
163000,  7.770933E+03,  2.164492E+03,  1.029782E+02,  3.057620E+02,  2.435898E+01,  1.219730E+00,  1.496834E-02,  3.831896E+00,  3.831896E+00,  3.072203E+02,  7.232652E+01,  4.821255E-09,  1.299392E-04,  9.307315E-03,  3.495437E-01,  3.150845E-01,  3.353718E-01
164000,  7.760833E+03,  2.172238E+03,  1.033204E+02,  3.075541E+02,  2.435280E+01,  1.217399E+00,  1.493973E-02,  3.824572E+00,  3.824572E+00,  3.081632E+02,  7.249101E+01,  4.858292E-09,  1.308708E-04,  9.340622E-03,  3.478780E-01,  3.174779E-01,  3.346440E-01
165000,  7.755126E+03,  2.179915E+03,  1.037301E+02,  3.095041E+02,  2.436326E+01,  1.215514E+00,  1.491661E-02,  3.818651E+00,  3.818651E+00,  3.095181E+02,  7.269372E+01,  4.888491E-09,  1.317975E-04,  9.373634E-03,  3.455636E-01,  3.200265E-01,  3.344099E-01
166000,  7.754888E+03,  2.187512E+03,  1.039301E+02,  3.116557E+02,  2.432545E+01,  1.212460E+00,  1.487912E-02,  3.809055E+00,  3.809055E+00,  3.096334E+02,  7.294483E+01,  4.937942E-09,  1.327178E-04,  9.406304E-03,  3.423150E-01,  3.223368E-01,  3.353481E-01
167000,  7.758034E+03,  2.194926E+03,  1.040953E+02,  3.138991E+02,  2.428182E+01,  1.209324E+00,  1.484064E-02,  3.799205E+00,  3.799205E+00,  3.095696E+02,  7.322174E+01,  4.989349E-09,  1.336190E-04,  9.438183E-03,  3.376274E-01,  3.246074E-01,  3.377651E-01
168000,  7.757669E+03,  2.202275E+03,  1.044167E+02,  3.159896E+02,  2.427552E+01,  1.207148E+00,  1.481394E-02,  3.792369E+00,  3.792369E+00,  3.104447E+02,  7.346344E+01,  5.025422E-09,  1.345152E-04,  9.469782E-03,  3.325862E-01,  3.265845E-01,  3.408294E-01
169000,  7.748856E+03,  2.209656E+03,  1.047898E+02,  3.177501E+02,  2.428086E+01,  1.205263E+00,  1.479080E-02,  3.786446E+00,  3.786446E+00,  3.116225E+02,  7.362594E+01,  5.056940E-09,  1.354184E-04,  9.501523E-03,  3.284902E-01,  3.293764E-01,  3.421334E-01
